Player,Team,Points,Cost,,,
Alisson,Liverpool,122,6.0,,,
Ederson,Man City,133,6.0,,,
Pope,Burnley,170,5.5,,,
Schmeichel,Leicester,156,5.5,,,
de Gea,Man Utd,143,5.5,,,
Henderson,Man Utd,160,5.5,,,
Lloris,Spurs,98,5.5,,,
Patr¡cio,Wolves,153,5.5,,,
Leno,Arsenal,114,5.0,,,
Caballero,Chelsea,13,5.0,,,
Arrizabalaga,Chelsea,90,5.0,,,
Guaita,Crystal Palace,137,5.0,,,
Pickford,Everton,117,5.0,,,
Romero,Man Utd,0,5.0,,,
Darlow,Newcastle,0,5.0,,,
Dubravka,Newcastle,143,5.0,,,
Fabianski,West Ham,83,5.0,,,
Ramsdale,Sheffield Utd,126,5.0,,,
Mart¡nez,Arsenal,33,4.5,,,
Heaton,Aston Villa,59,4.5,,,
Ryan,Brighton,135,4.5,,,
Hennessey,Crystal Palace,7,4.5,,,
L”ssl,Everton,0,4.5,,,
Virg¡nia,Everton,0,4.5,,,
Bettinelli,Fulham,0,4.5,,,
Rod k,Fulham,0,4.5,,,
Casilla,Leeds,0,4.5,,,
Meslier,Leeds,0,4.5,,,
Ward,Leicester,0,4.5,,,
Adri n,Liverpool,27,4.5,,,
Bravo,Man City,11,4.5,,,
Moore,Sheffield Utd,3,4.5,,,
Foderingham,Sheffield Utd,0,4.5,,,
McCarthy,Southampton,104,4.5,,,
Gunn,Southampton,29,4.5,,,
Gazzaniga,Spurs,58,4.5,,,
Johnstone,West Brom,0,4.5,,,
Randolph,West Ham,3,4.5,,,
Roberto,West Ham,18,4.5,,,
Ruddy,Wolves,0,4.5,,,
Sarkic,Wolves,0,4.5,,,
Hart,Spurs,0,4.5,,,
Gillespie,Newcastle,0,4.5,,,
Steer,Aston Villa,1,4.0,,,
Nyland,Aston Villa,15,4.0,,,
Button,Brighton,0,4.0,,,
Peacock-Farrell,Burnley,0,4.0,,,
Fabri,Fulham,0,4.0,,,
Miazek,Leeds,0,4.0,,,
Martin,West Ham,20,4.0,,,
,,,,,,
